"t, m","t, s","E, mV",,,"t, m","t, s","E, mV"
0.00,0,7.3,,,0.00,0,15.5
0.17,10,7.2,,,0.17,10,15.1
0.33,20,7,,,0.33,20,14.7
0.50,30,6.8,,,0.50,30,14.3
0.67,40,6.7,,,0.67,40,13.9
0.83,50,6.5,,,0.83,50,13.5
1.00,60,6.4,,,1.00,60,13.1
1.17,70,6.3,,,1.17,70,12.7
1.33,80,6.1,,,1.33,80,12.3
1.50,90,6,,,1.50,90,12
1.67,100,5.8,,,1.67,100,11.6
1.83,110,5.7,,,1.83,110,11.3
2.00,120,5.6,,,2.00,120,11
2.17,130,5.5,,,2.17,130,10.7
2.33,140,5.4,,,2.33,140,10.4
2.50,150,5.3,,,2.50,150,10.1
2.67,160,5.1,,,2.67,160,9.9
2.83,170,5,,,2.83,170,9.6
3.00,180,4.9,,,3.00,180,9.4
3.17,190,4.8,,,3.17,190,9.1
3.33,200,4.7,,,3.33,200,8.9
3.50,210,4.6,,,3.50,210,8.7
3.67,220,4.5,,,3.67,220,8.5
3.83,230,4.4,,,3.83,230,8.2
4.00,240,4.3,,,4.00,240,8
4.17,250,4.3,,,4.17,250,7.8
4.33,260,4.2,,,4.33,260,7.6
4.50,270,4.1,,,4.50,270,7.5
4.67,280,4,,,4.67,280,7.3
4.83,290,3.9,,,4.83,290,7.1
5.00,300,3.8,,,5.00,300,7
5.17,310,3.8,,,5.17,310,6.8
5.33,320,3.7,,,5.33,320,6.6
5.50,330,3.6,,,5.50,330,6.5
5.67,340,3.5,,,5.67,340,6.3
5.83,350,3.5,,,5.83,350,6.2
6.00,360,3.4,,,6.00,360,6.1
6.17,370,3.3,,,6.17,370,5.9
6.33,380,3.2,,,6.33,380,5.8
6.50,390,3.2,,,6.50,390,5.7
6.67,400,3.1,,,6.67,400,5.5
6.83,410,3.1,,,6.83,410,5.4
7.00,420,3,,,7.00,420,5.3
7.17,430,2.9,,,7.17,430,5.2
7.33,440,2.9,,,7.33,440,5.1
7.50,450,2.8,,,7.50,450,5
7.67,460,2.8,,,7.67,460,
7.83,470,2.7,,,7.83,470,
8.00,480,2.7,,,8.00,480,
8.17,490,2.6,,,8.17,490,
8.33,500,2.6,,,8.33,500,
8.50,510,2.5,,,8.50,510,
8.67,520,2.5,,,8.67,520,
8.83,530,2.4,,,8.83,530,
9.00,540,2.4,,,9.00,540,
9.17,550,2.3,,,9.17,550,
9.33,560,2.3,,,9.33,560,
9.50,570,2.2,,,9.50,570,
9.67,580,2.2,,,9.67,580,
9.83,590,2.2,,,9.83,590,
10.00,600,2.1,,,10.00,600,
10.17,610,2.1,,,10.17,610,
10.33,620,2,,,10.33,620,